Year,Celsius
Ene-Feb,1
Feb-Mar,30
Mar-Abr,-17
Abr-May,30
May-Jun,-43
Jun-Jul,13
Jul-Ago,-7
Ago-Sep,28
Sep-Oct,-11
Oct-Nov,6
Nov-Dic,9
Dic-Ene,-57

