Year,Celsius
Ene-Feb,-6
Feb-Mar,17
Mar-Abr,-3
Abr-May,28
May-Jun,-7
Jun-Jul,-18
Jul-Ago,1
Ago-Sep,-1
Sep-Oct,2
Oct-Nov,11
Nov-Dic,-10
Dic-Ene,-4
