Year,Celsius
Ene-Feb,109
Feb-Mar,-15
Mar-Abr,-36
Abr-May,18
May-Jun,-16
Jun-Jul,18
Jul-Ago,-7
Ago-Sep,38
Sep-Oct,-17
Oct-Nov,-43
Nov-Dic,-1
Dic-Ene,-31
