Year,Celsius
Ene-Feb,79
Feb-Mar,-12
Mar-Abr,77
Abr-May,-11
May-Jun,9
Jun-Jul,-49
Jul-Ago,35
Ago-Sep,-5
Sep-Oct,50
Oct-Nov,10
Nov-Dic,-54
