Year,Celsius
Ene-Feb,45
Feb-Mar,24
Mar-Abr,-20
Abr-May,53
May-Jun,21
Jun-Jul,-12
Jul-Ago,-11
Ago-Sep,29
Sep-Oct,-5
Oct-Nov,-14
Nov-Dic,6
