Year,Celsius
Ene-Feb,18
Feb-Mar,22
Mar-Abr,81
Abr-May,-41
May-Jun,-36
Jun-Jul,39
Jul-Ago,-9
Ago-Sep,2
Sep-Oct,29
Oct-Nov,-5
Nov-Dic,-23

