Year,Celsius
Ene-Feb,56
Feb-Mar,-22
Mar-Abr,19
Abr-May,18
May-Jun,-56
Jun-Jul,13
Jul-Ago,8
Ago-Sep,37
Sep-Oct,-26
Oct-Nov,-6
Nov-Dic,-8
Dic-Ene,-57

