Year,Celsius
Ene-Feb,2
Feb-Mar,37
Mar-Abr,-36
Abr-May,9
May-Jun,-5
Jun-Jul,20
Jul-Ago,-7
Ago-Sep,31
Sep-Oct,9
Oct-Nov,-43
Nov-Dic,-16
Dic-Ene,-30
