Year,Celsius
Ene-Feb,-7
Feb-Mar,7
Mar-Abr,4
Abr-May,-2
May-Jun,-5
Jun-Jul,14
Jul-Ago,-13
Ago-Sep,8
Sep-Oct,-7
Oct-Nov,-2
Nov-Dic,0
Dic-Ene,-8
