Year,Celsius
Ene-Feb,62
Feb-Mar,5
Mar-Abr,-19
Abr-May,24
May-Jun,-48
Jun-Jul,23
Jul-Ago,-22
Ago-Sep,19
Sep-Oct,-19
Oct-Nov,24
Nov-Dic,-5
Dic-Ene,-50


