Year,Celsius
Ene-Feb,46
Feb-Mar,-11
Mar-Abr,22
Abr-May,7
May-Jun,-12
Jun-Jul,7
Jul-Ago,-3
Ago-Sep,12
Sep-Oct,19
Oct-Nov,-16
Nov-Dic,-5

