Year,Celsius
Ene-Feb,98
Feb-Mar,-50
Mar-Abr,34
Abr-May,27
May-Jun,-69
Jun-Jul,-6
Jul-Ago,16
Ago-Sep,17
Sep-Oct,-1
Oct-Nov,-4
Nov-Dic,-15
