LOCALIDAD;CATEGORIA;ANO;MES;NUMERO_COMPARENDOS
ANTONIO NARINO;D;2015;JUNIO;13
ANTONIO NARINO;D;2015;MARZO;13
ANTONIO NARINO;D;2015;MAYO;13
ANTONIO NARINO;D;2015;NOVIEMBRE;16
ANTONIO NARINO;D;2015;OCTUBRE;19
ANTONIO NARINO;D;2015;SEPTIEMBRE;13
ANTONIO NARINO;D;2016;ABRIL;25
ANTONIO NARINO;D;2016;AGOSTO;89
ANTONIO NARINO;D;2016;DICIEMBRE;69
ANTONIO NARINO;D;2016;ENERO;14
ANTONIO NARINO;D;2016;FEBRERO;17
ANTONIO NARINO;D;2016;JULIO;42
ANTONIO NARINO;D;2016;JUNIO;15
ANTONIO NARINO;D;2016;MARZO;20
ANTONIO NARINO;D;2016;MAYO;28
ANTONIO NARINO;D;2016;NOVIEMBRE;61
ANTONIO NARINO;D;2016;OCTUBRE;75
ANTONIO NARINO;D;2016;SEPTIEMBRE;114
ANTONIO NARINO;D;2017;ABRIL;61
ANTONIO NARINO;D;2017;AGOSTO;75
ANTONIO NARINO;D;2017;ENERO;53
ANTONIO NARINO;D;2017;FEBRERO;64
ANTONIO NARINO;D;2017;JULIO;80
ANTONIO NARINO;D;2017;JUNIO;57
ANTONIO NARINO;D;2017;MARZO;68
ANTONIO NARINO;D;2017;MAYO;90
ANTONIO NARINO;D;2017;OCTUBRE;5
ANTONIO NARINO;D;2017;SEPTIEMBRE;40
ANTONIO NARINO;E;2016;JULIO;1
ANTONIO NARINO;F;2015;ABRIL;12
ANTONIO NARINO;F;2015;AGOSTO;31
ANTONIO NARINO;F;2015;DICIEMBRE;14
ANTONIO NARINO;F;2015;ENERO;8
ANTONIO NARINO;F;2015;FEBRERO;10
ANTONIO NARINO;F;2015;JULIO;23
ANTONIO NARINO;F;2015;JUNIO;25
ANTONIO NARINO;F;2015;MARZO;4
ANTONIO NARINO;F;2015;MAYO;12
ANTONIO NARINO;F;2015;NOVIEMBRE;16
ANTONIO NARINO;F;2015;OCTUBRE;20
ANTONIO NARINO;F;2015;SEPTIEMBRE;9
ANTONIO NARINO;F;2016;ABRIL;21
ANTONIO NARINO;F;2016;AGOSTO;26
ANTONIO NARINO;F;2016;DICIEMBRE;37
ANTONIO NARINO;F;2016;ENERO;30
ANTONIO NARINO;F;2016;FEBRERO;59
ANTONIO NARINO;F;2016;JULIO;12
ANTONIO NARINO;F;2016;JUNIO;7
ANTONIO NARINO;F;2016;MARZO;52
ANTONIO NARINO;F;2016;MAYO;7
ANTONIO NARINO;F;2016;NOVIEMBRE;25
ANTONIO NARINO;F;2016;OCTUBRE;39
ANTONIO NARINO;F;2016;SEPTIEMBRE;46
ANTONIO NARINO;F;2017;ABRIL;25
ANTONIO NARINO;F;2017;AGOSTO;36
ANTONIO NARINO;F;2017;ENERO;29
ANTONIO NARINO;F;2017;FEBRERO;27
ANTONIO NARINO;F;2017;JULIO;23
ANTONIO NARINO;F;2017;JUNIO;27
ANTONIO NARINO;F;2017;MARZO;54
ANTONIO NARINO;F;2017;MAYO;29
ANTONIO NARINO;F;2017;SEPTIEMBRE;17
ANTONIO NARINO;G;2015;ABRIL;1
ANTONIO NARINO;G;2015;DICIEMBRE;2
