Year,Celsius
ENE-FEB,-2
FEB-MAR,16
MAR-ABR,-2
ABR-MAY,0
MAY-JUN,2
JUN-JUL,5
JUL-AGO,-9
AGO-SEP,9
SEP-OCT,0
OCT-NOV,-9
NOV-DIC,-11
