date,close,meses
01/01/15,52,Ene-Feb
01/02/15,39,Feb-Mar
01/03/15,64,Mar-Abr
01/04/15,54,Abr-May
01/05/15,52,May-Jun
01/06/15,66,Jun-Jul
01/07/15,51,Jul-Ago
01/08/15,67,Ago-Sep
01/09/15,64,Sep-Oct
