date,close,meses
01/01/15,242,Ene-Feb
01/02/15,298,Feb-Mar
01/03/15,276,Mar-Abr
01/04/15,295,Abr-May
01/05/15,313,May-Jun
01/06/15,257,Jun-Jul
01/07/15,270,Jul-Ago
01/08/15,278,Ago-Sep
01/09/15,315,Sep-Oct
01/10/15,289,Oct-Nov
01/11/15,283,Nov-Dic
01/12/15,275,Dic-Ene
