date,close
01/01/15,99
01/02/15,119
01/03/15,112
01/04/15,111
01/05/15,98
01/06/15,119
01/07/15,112
01/08/15,116
01/09/15,111
01/10/15,122
01/11/15,97
01/12/15,101
