date,close,meses
01/01/16,267,Ene-Feb
01/02/16,220,Feb-Mar
01/03/16,318,Mar-Abr
01/04/16,268,Abr-May
01/05/16,302,May-Jun
01/06/16,329,Jun-Jul
01/07/16,260,Jul-Ago
01/08/16,254,Ago-Sep
01/09/16,270,Sep-Oct
01/10/16,287,Oct-Nov
01/11/16,286,Nov-Dic
01/12/16,282,Dic-Ene
