date,close,meses
01/01/16,212,Ene-Feb
01/02/16,146,Feb-Mar
01/03/16,192,Mar-Abr
01/04/16,181,Abr-May
01/05/16,203,May-Jun
01/06/16,210,Jun-Jul
01/07/16,198,Jul-Ago
01/08/16,205,Ago-Sep
01/09/16,202,Sep-Oct
01/10/16,214,Oct-Nov
01/11/16,233,Nov-Dic
01/12/16,217,Dic-Ene
