date,close,meses
01/01/17,272,Ene-Feb
01/02/17,315,Feb-Mar
01/03/17,375,Mar-Abr
01/04/17,324,Abr-May
01/05/17,370,May-Jun
01/06/17,271,Jun-Jul
01/07/17,248,Jul-Ago
01/08/17,313,Ago-Sep
01/09/17,287,Sep-Oct
