date,close,meses
01/02/16,143,Ene-Feb
01/03/16,188,Feb-Mar
01/04/16,212,Mar-Abr
01/05/16,192,Abr-May
01/06/16,245,May-Jun
01/07/16,266,Jun-Jul
01/08/16,254,Jul-Ago
01/09/16,243,Ago-Sep
01/10/16,272,Sep-Oct
01/11/16,267,Oct-Nov
01/12/16,253,Nov-Dic
01/01/16,259,Dic-Ene
