date,close,meses
01/01/16,300,Ene-Feb
01/02/16,223,Feb-Mar
01/03/16,241,Mar-Abr
01/04/16,263,Abr-May
01/05/16,344,May-Jun
01/06/16,303,Jun-Jul
01/07/16,267,Jul-Ago
01/08/16,306,Ago-Sep
01/09/16,297,Sep-Oct
01/10/16,299,Oct-Nov
01/11/16,328,Nov-Dic
01/12/16,323,Dic-Ene

