date,close,meses
01/01/15,113,Ene-Feb
01/02/15,137,Feb-Mar
01/03/15,131,Mar-Abr
01/04/15,138,Abr-May
01/05/15,138,May-Jun
01/06/15,142,Jun-Jul
01/07/15,140,Jul-Ago
01/08/15,145,Ago-Sep
01/09/15,166,Sep-Oct
01/10/15,150,Oct-Nov
01/11/15,165,Nov-Dic
01/12/15,147,Dic-Ene
