date,close,meses
01/01/15,42,Ene-Feb
01/02/15,36,Feb-Mar
01/03/15,53,Mar-Abr
01/04/15,50,Abr-May
01/05/15,78,May-Jun
01/06/15,71,Jun-Jul
01/07/15,53,Jul-Ago
01/08/15,54,Ago-Sep
01/09/15,53,Sep-Oct
01/10/15,55,Oct-Nov
01/11/15,66,Nov-Dic
01/12/15,56,Dic-Ene
