date,close,meses
01/01/16,205,Ene-Feb
01/02/16,264,Feb-Mar
01/03/16,273,Mar-Abr
01/04/16,287,Abr-May
01/05/16,359,May-Jun
01/06/16,292,Jun-Jul
01/07/16,247,Jul-Ago
01/08/16,295,Ago-Sep
01/09/16,333,Sep-Oct
01/10/16,328,Oct-Nov
