date,close
01/01/15,19
01/02/15,17
01/03/15,16
01/04/15,17
01/05/15,12
01/06/15,15
01/07/15,15
01/08/15,15
01/09/15,20
01/10/15,20
01/11/15,26
01/12/15,18
