date,close,meses
01/01/15,164,Ene-Feb
01/02/15,165,Feb-Mar
01/03/15,195,Mar-Abr
01/04/15,178,Abr-May
01/05/15,208,May-Jun
01/06/15,165,Jun-Jul
01/07/15,178,Jul-Ago
01/08/15,171,Ago-Sep
01/09/15,199,Sep-Oct
01/10/15,188,Oct-Nov
01/11/15,194,Nov-Dic
01/12/15,203,Dic-Ene
