date,close,meses
01/01/15,146,Ene-Feb
01/02/15,188,Feb-Mar
01/03/15,193,Mar-Abr
01/04/15,180,Abr-May
01/05/15,169,May-Jun
01/06/15,171,Jun-Jul
01/07/15,224,Jul-Ago
01/08/15,180,Ago-Sep
01/09/15,216,Sep-Oct
01/10/15,206,Oct-Nov
01/11/15,222,Nov-Dic
01/12/15,192,Dic-Ene

