name,value
'C31',78
'C02',59
'A08',34
'C29',33
'G02',24
'H10',13
'B15',11
'B10',10
'C14',10
'C11',8
'D07',8
'C03',7
'C38',7
'A05',6
'C33',5
'G01',5
'C06',4
'D05',4
'C32',3
