name,value
'C14',35
'C31',11
'D07',9
'H02',7
'B15',6
'C38',6
'C15',5
'F07',4
'C10',3
'C19',3
'C33',3
'A06',2
'D01',2
'D08',2
'I01',2
'A02',1
'A11',1
'B03',1
'B04',1
'B05',1
