name,value
'C24',99
'H03',64
'G02',52
'C38',23
'C06',19
'C35',17
'H10',15
'F07',13
'C31',12
'C14',11
'B10',10
'D04',9
'F06',9
'A06',7
'B02',7
'F03',6
'B01',5
'B22',5
'C33',5
'D07',5
