name,value
'C02',231
'C14',105
'C38',10
'C03',7
'B01',6
'D05',6
'C32',5
'C06',4
'C08',4
'C31',4
'C33',4
'H04',4
'C16',3
'C18',3
'D01',3
'D08',3
'H05',3
'H10',3
'B20',2
'C19',2
