name,value
'C35',19
'C28',5
'D02',4
'B07',2
'C03',2
'C08',2
'B03',1
'B04',1
'C15',1
'C31',1
'A02',0
'A04',0
'A07',0
'A09',0
'A10',0
'A11',0
'B05',0
'B06',0
'B08',0

