name,value
'B06',173
'B21',99
'C15',89
'F07',87
'C27',70
'F06',61
'C22',33
'C40',33
'B07',29
'B02',28
'B12',25
'C34',19
'G02',15
'D11',14
'D13',14
'A02',13
'D17',13
'C19',10
'H12',10
'A06',10
