name,value
'B21',81
'C34',62
'B06',42
'C15',25
'D04',18
'F07',12
'C38',11
'C22',10
'C27',9
'C40',8
'B02',6
'C10',6
'D13',6
'C18',5
'B07',3
'C05',3
'D07',3
'C35',2
'C12',2
'D10',2

