name,value
'B07',48
'B06',44
'B21',26
'C27',10
'D13',9
'F06',7
'F07',5
'B12',4
'D14',3
'H07',3
'H09',3
'H12',3
'A08',3
'G02',2
'C01',2
'D11',2
'A05',2
'D07',2
'C03',1
'B02',1
