name,value
'C02',194
'C31',183
'C24',101
'C14',51
'C35',46
'C06',42
'A08',26
'B01',26
'C38',19
'B07',8
'D07',8
'F06',8
'B02',7
'C08',7
'D02',7
'D01',6
'G02',6
'A06',5
'H04',5
