name,value
'C03',50
'C02',47
'C14',47
'C24',43
'C35',36
'H03',12
'B01',8
'D02',7
'F06',7
'G02',7
'H02',4
'B02',3
'B22',3
'D08',3
'A08',2
'B07',2
'C28',2
'F07',2
'I01',2
'A12',1
