name,value
'B10',37
'C24',37
'C35',28
'C31',20
'C02',17
'C14',14
'C38',13
'D12',11
'H02',9
'C19',8
'D04',6
'H03',6
'C15',5
'D05',4
'C03',3
'B01',2
'B15',2
'D02',2
'F03',2
'H13',2
