name,value
'C02',58
'C03',42
'C35',7
'B01',5
'H04',5
'C11',4
'D05',4
'B10',3
'C19',3
'D03',3
'H03',3
'A08',2
'D01',2
'F07',2
'B02',1
'B03',1
'C15',1
'C32',1
'D06',1
'H11',1
